sector,site_description_local,latitude,longitude,import,road
cameras_report_emregion_foi,M1 179/7A J23 J23A,52.7961,358.704,Y,M1 
cameras_report_emregion_foi,M1 147/6A J20 J21,52.535,358.82,Y,M1 
cameras_report_emregion_foi,M69 112/8B J2 J1,52.5276,358.671,Y,M69 
cameras_report_emregion_foi,M69 123/7A J2 J21,52.5951,358.782,Y,M69 
cameras_report_emregion_foi,M69 125/2A J2 J21,52.6,358.8,Y,M69 
cameras_report_emregion_foi,New Camera,51.3311,0.6601,N, NaN
cameras_report_emregion_foi,A14 0/5B J1 J19,52.4017,358.828,Y,A14 
cameras_report_emregion_foi,A14 1/3B J1 J19,52.3983,358.84,Y,A14 
cameras_report_emregion_foi,A14 3/0B J1 J19,52.395,358.865,Y,A14 
cameras_report_emregion_foi,A14 4/5B J1 J19,52.3933,358.885,Y,A14 
cameras_report_emregion_foi,A14 6/0B J1 J19,52.3933,358.907,Y,A14 
cameras_report_emregion_foi,A14 7/5B J1 J19,52.395,358.93,Y,A14 
cameras_report_emregion_foi,A14 9/4B J1 J19,52.395,358.963,Y,A14 
cameras_report_emregion_foi,A14 25/7A J3J,52.4166,359.185,Y,A14 
cameras_report_emregion_foi,A14 29/8A J7J,52.4097,359.244,Y,A14 
cameras_report_emregion_foi,Not Op   In Scheme,52.3983,359.25,N, NaN
cameras_report_emregion_foi,Not Op   In Scheme,52.3981,359.25,N, NaN
cameras_report_emregion_foi,Not Op   In Scheme,52.3886,359.253,N, NaN
cameras_report_emregion_foi,Not Op   In Scheme,52.3731,359.283,N, NaN
cameras_report_emregion_foi,A14 35/6B J9 (West Bound Verge),52.3719,359.289,Y,A14 
cameras_report_emregion_foi,A14 37/6L J10 Off Slip (West Bound Verge),52.3753,-0.682216,Y,A14 
cameras_report_emregion_foi,A50 073/4B,52.8583,358.687,Y,A50 
cameras_report_emregion_foi,A38 110/6A Alfreton,53.0923,358.635,Y,A38 
cameras_report_emregion_foi,A42 65/0A J11,52.6967,358.454,Y,A42 
cameras_report_emregion_foi,A42 66/0A J11 J12,52.7039,358.462,Y,A42 
cameras_report_emregion_foi,A42 66/7B J12  11,52.7066,358.471,Y,A42 
cameras_report_emregion_foi,A42 68/0B J12 J11,52.7114,358.489,Y,A42 
cameras_report_emregion_foi,A42 68/6A J11 J12,52.7155,358.494,Y,A42 
cameras_report_emregion_foi,A42 70/2A J12,52.7253,358.509,Y,A42 
cameras_report_emregion_foi,A42 71/9B J13 J12,52.734,358.532,Y,A42 
cameras_report_emregion_foi,A42 72/4A J12 J13,52.7377,358.536,Y,A42 
cameras_report_emregion_foi,A42 74/1B J13,52.7489,358.553,Y,A42 
cameras_report_emregion_foi,A42 75/8B J14 J13,52.761,358.566,Y,A42 
cameras_report_emregion_foi,A42 77/7A J13 J14,52.7771,358.58,Y,A42 
cameras_report_emregion_foi,A42 79/6A J13 J14,52.7909,358.595,Y,A42 
cameras_report_emregion_foi,A42 81/3A J14,52.7985,358.614,Y,A42 
cameras_report_emregion_foi,A42 82/7B M1   J14,52.7975,358.636,Y,A42 
cameras_report_emregion_foi,A42 84/1B M1   J14,52.7986,358.658,Y,A42 
cameras_report_emregion_foi,A42 84/6A J14 J1,52.8008,358.664,Y,A42 
cameras_report_emregion_foi,A42 85/6A J14 J1,52.8051,358.677,Y,A42 
cameras_report_emregion_foi,M1 93/5A J14 J15,52.143,359.163,Y,M1 
cameras_report_emregion_foi,M1 95/2B J15   J14,52.156,359.151,Y,M1 
cameras_report_emregion_foi,M1 96/8B J14 J15,52.168,359.137,Y,M1 
cameras_report_emregion_foi,M1 99/7B J15 A45,52.185,359.106,Y,M1 
