field_name,length,import,field_descriptor
Accident_Index,0,Y,accident_index
Vehicle_Reference,0,Y,vehicle_reference
Vehicle_Type,0,Y,vehicle_type
Towing_and_Articulation,0,Y,towing_and_articulation
Vehicle_Manoeuvre,0,Y,vehicle_manoeuvre
Vehicle_Location-Restricted_Lane,0,N,vehicle_location-restricted_lane
Junction_Location,0,Y,junction_location
Skidding_and_Overturning,0,N,skidding_and_overturning
Hit_Object_in_Carriageway,0,N,hit_object_in_carriageway
Vehicle_Leaving_Carriageway,0,N,vehicle_leaving_carriageway
Hit_Object_off_Carriageway,0,N,hit_object_off_carriageway
1st_Point_of_Impact,0,N,1st_point_of_impact
Was_Vehicle_Left_Hand_Drive?,0,Y,was_vehicle_left_hand_drive
Journey_Purpose_of_Driver,0,N,journey_purpose_of_driver
Sex_of_Driver,0,Y,sex_of_driver
Age_of_Driver,0,Y,age_of_driver
Age_Band_of_Driver,0,N,age_band_of_driver
Engine_Capacity_(CC),0,Y,engine_capacity_(cc)
Propulsion_Code,0,Y,propulsion_code
Age_of_Vehicle,0,Y,age_of_vehicle
Driver_IMD_Decile,0,N,driver_imd_decile
Driver_Home_Area_Type,0,N,driver_home_area_type
Vehicle_IMD_Decile,0,N,vehicle_imd_decile
