ID,field_name,length,import,field_descriptor
1,pcd,7,Y,postcode
2,pcd2,8,N,postcode_8
3,pcds,8,N,postcode_Gif
4,dointr,6,Y,Date_of_introduction
5,doterm,6,Y,Date_of_termination
6,oscty,9,Y,County
7,oslaua,9,Y,Local_authority_district
8,osward,9,Y,ward/division
9,usertype,1,Y,Postcode_user_type
10,oseast1m,6,Y,National_grid_Easting
11,osnrth1m,7,Y,National_grid_Northing
12,osgrdind,1,Y,Grid_quality_indicator
13,oshlthau,9,N,Former_Strategic_Health_Authority
14,hro,9,N,Pan_SHA
15,ctry,9,Y,Country
16,gor,9,N,Region
17,streg,1,Y,Statistical_Region
18,pcon,9,N,Westminster_parliamentary_constituency
19,eer,9,N,European_Electoral_Region
20,teclec,9,N,Local_Learning_and_Skills_Council
21,ttwa,9,Y,Travel_to_Work_Area
22,pct,9,N,Primary_Care_Trust
23,nuts,10,N,LAU2_areas
24,psed,8,N,Census_1991
25,cened,6,N,Census_1991_2D
26,edind,1,N,ED_positional_quality_indicator
27,oshaprev,3,N,Previous_Strategic_Health_Authority
28,lea,3,N,Local_Education_Authority
29,oldha,3,N,Health_Authority_oldstyle
30,wardc91,6,N,Census_1991_ward
31,wardo91,6,N,1991_ward_OGSS
32,ward98,6,N,1998_ward
33,statsward,6,N,2005_statistical_ward
34,oa01,10,N,Census_2001_Output_Area
35,casward,6,Y,Census_Area_Statistics_ward
36,park,9,Y,National_park
37,lsoa01,9,N,Census_2001_Lower_Layer
38,msoa01,9,N,Census_2001_Middle_Layer
39,ur01ind,1,N,Census_2001_urban_rural_ind
40,oac01,3,N,Census_2001_Area_class
41,oldpct,5,N,Old_Primary_Care_Trust
42,oa11,9,N,Census_2011_Output_Area
43,lsoa11,9,N,Census_2011_Lower_Layer
44,msoa11,9,N,Census_2011_Middle_Layer
45,parish,9,N,Parish_community
46,wz11,9,N,Census_2011_Workplace
47,ccg,9,N,Clinical_Commissioning_Group
48,bua11,9,Y,Built-up_Area
49,buasd11,9,Y,Built-up_Area_Sub-division
50,ru11ind,2,N,Census_2011_urban_rural_class
51,oac11,3,N,Census_2011_Area_class
52,lat,10,Y,latitude
53,long,10,Y,longitude
54,lep1,9,N,Local_Enterprise_Partnership_1
55,lep2,9,N,Local_Enterprise_Partnership_2
56,pfa,9,Y,Police_Force_Area
57,imd,5,Y,Index_of_Multiple_Deprivation
